,Outlier count,Percent
redCards_a_cat,1396.0,11.009463722397477
redCards_a,1396.0,11.009463722397477
redCards_h,1078.0,8.501577287066246
redCards_h_cat,1078.0,8.501577287066246
homeGoals,981.0,7.736593059936908
homeGoals_cat,981.0,7.736593059936908
teamgoals_h,917.0,7.231861198738171
total_assists_a_cat,790.0,6.230283911671925
total_assists_a,790.0,6.230283911671925
total_xGoalsBuildup_a,718.0,5.662460567823343
total_xGoalsBuildup_h,664.0,5.236593059936909
ppda_a,606.0,4.779179810725552
ownGoals_a,563.0,4.440063091482649
ownGoals_a_cat,563.0,4.440063091482649
ppda_h,540.0,4.2586750788643535
total_xGoalsChain_a,538.0,4.242902208201893
total_saved_shots_h,532.0,4.195583596214511
total_xGoalsChain_h,523.0,4.124605678233439
ownGoals_h_cat,435.0,3.4305993690851735
ownGoals_h,435.0,3.4305993690851735
deep_a,404.0,3.1861198738170344
homeGoalsHT_cat,403.0,3.178233438485804
homeGoalsHalfTime,403.0,3.178233438485804
total_xAssists_a,389.0,3.0678233438485805
shotsOnTarget_h,351.0,2.7681388012618298
total_xAssists_h,346.0,2.728706624605678
xGoals_a,287.0,2.263406940063091
corners_a,283.0,2.2318611987381702
xGoals_h,261.0,2.058359621451104
fouls_h,241.0,1.9006309148264982
shotsOnTarget_a,233.0,1.837539432176656
total_blocked_shots_h,230.0,1.8138801261829656
awayGoalsHT_cat,225.0,1.774447949526814
awayGoalsHalfTime,225.0,1.774447949526814
deep_h,220.0,1.7350157728706623
total_blocked_shots_a,187.0,1.474763406940063
total_key_passes_a,169.0,1.332807570977918
shots_h,167.0,1.3170347003154574
shots_a,161.0,1.2697160883280756
corners_h,143.0,1.1277602523659307
total_key_passes_h,123.0,0.9700315457413249
total_saved_shots_a,95.0,0.749211356466877
fouls_a,81.0,0.6388012618296529
awayGoals,44.0,0.3470031545741325
yellowCards_a,43.0,0.3391167192429022
teamgoals_a,38.0,0.2996845425867508
yellowCards_h,37.0,0.29179810725552047
total_assists_h,20.0,0.15772870662460567
